,$K_{x}$,$K_{v_x}$,$K_{\alpha}$,$K_{\omega}$,$K_{l}$,$K_{v_l}$
55,1.0,2.6661,-0.5302,-0.2257,1.0,3.0
56,1.0,2.666,-0.5278,-0.2204,1.0,3.0
57,1.0,2.6659,-0.5255,-0.2154,1.0,3.0
58,1.0,2.6658,-0.5234,-0.2107,1.0,3.0
59,1.0,2.6658,-0.5214,-0.2062,1.0,3.0
60,1.0,2.6657,-0.5195,-0.202,1.0,3.0
61,1.0,2.6656,-0.5177,-0.198,1.0,3.0
62,1.0,2.6656,-0.516,-0.1942,1.0,3.0
63,1.0,2.6655,-0.5144,-0.1906,1.0,3.0
64,1.0,2.6654,-0.5129,-0.1872,1.0,3.0
65,1.0,2.6654,-0.5115,-0.1841,1.0,3.0
66,1.0,2.6653,-0.5102,-0.1811,1.0,3.0
67,1.0,2.6653,-0.5089,-0.1784,1.0,3.0
68,1.0,2.6652,-0.5078,-0.1758,1.0,3.0
69,1.0,2.6652,-0.5067,-0.1734,1.0,3.0
70,1.0,2.6652,-0.5057,-0.1711,1.0,3.0
71,1.0,2.6651,-0.5047,-0.1691,1.0,3.0
72,1.0,2.6651,-0.5039,-0.1671,1.0,3.0
73,1.0,2.6651,-0.5031,-0.1654,1.0,3.0
74,1.0,2.665,-0.5024,-0.1637,1.0,3.0
75,1.0,2.665,-0.5017,-0.1622,1.0,3.0
76,1.0,2.665,-0.5011,-0.1608,1.0,3.0
77,1.0,2.665,-0.5005,-0.1596,1.0,3.0
78,1.0,2.665,-0.5,-0.1584,1.0,3.0
79,1.0,2.6649,-0.4995,-0.1574,1.0,3.0
80,1.0,2.6649,-0.4991,-0.1565,1.0,3.0
81,1.0,2.6649,-0.4988,-0.1557,1.0,3.0
82,1.0,2.6649,-0.4984,-0.1549,1.0,3.0
83,1.0,2.6649,-0.4981,-0.1543,1.0,3.0
84,1.0,2.6649,-0.4979,-0.1537,1.0,3.0
85,1.0,2.6649,-0.4977,-0.1533,1.0,3.0
86,1.0,2.6649,-0.4975,-0.1529,1.0,3.0
87,1.0,2.6649,-0.4974,-0.1525,1.0,3.0
88,1.0,2.6648,-0.4972,-0.1523,1.0,3.0
89,1.0,2.6648,-0.4971,-0.1521,1.0,3.0
90,1.0,2.6648,-0.4971,-0.1519,1.0,3.0
91,1.0,2.6648,-0.497,-0.1518,1.0,3.0
92,1.0,2.6648,-0.497,-0.1518,1.0,3.0
93,1.0,2.6648,-0.497,-0.1518,1.0,3.0
94,1.0,2.6648,-0.497,-0.1518,1.0,3.0
95,1.0,2.6648,-0.4971,-0.1519,1.0,3.0
96,1.0,2.6648,-0.4971,-0.152,1.0,3.0
97,1.0,2.6648,-0.4972,-0.1522,1.0,3.0
98,1.0,2.6648,-0.4973,-0.1524,1.0,3.0
99,1.0,2.6649,-0.4974,-0.1526,1.0,3.0
